Name:,Adam Krajewski
Email:,ak@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
HEA1,(Fe Ni Co Cr )25,None,MA+LMD(DED),ground in Ar for 2h to mix and DEDed at scanning speed of 1000mm/s 2mm beam and power of 1kW with layer thickness of 0.3mm,hardness,EXP,None,298.0,1372980000.0,58842000.0,Pa,T2,10.1007/s11665-024-10046-z
HEA2,(Fe Ni Co Cr )24.71 Sm1.13,None,MA+LMD(DED),ground in Ar for 2h to mix and DEDed at scanning speed of 1000mm/s 2mm beam and power of 1kW with layer thickness of 0.3mm,hardness,EXP,None,298.0,1618155000.0,98070000.0,Pa,T2,10.1007/s11665-024-10046-z
HEA3,(Fe Ni Co Cr )24.58 Sm1.66,None,MA+LMD(DED),ground in Ar for 2h to mix and DEDed at scanning speed of 1000mm/s 2mm beam and power of 1kW with layer thickness of 0.3mm,hardness,EXP,None,298.0,1323945000.0,49035000.0,Pa,T2,10.1007/s11665-024-10046-z
HEA4,(Fe Ni Co Cr )24.45 Sm2.17,None,MA+LMD(DED),ground in Ar for 2h to mix and DEDed at scanning speed of 1000mm/s 2mm beam and power of 1kW with layer thickness of 0.3mm,hardness,EXP,None,298.0,1569120000.0,88263000.0,Pa,T2,10.1007/s11665-024-10046-z
None,CoCrFeNi,FCC,HEBM(MA)+CIP,ball milled in control agent with SS balls to mechanically alloy over 20h in Ar at RT followed by 773K heat treatment over 1h to remove the control agent and cold pressed in 6mm die,hardness,EXP,None,298.0,5081809090.909089,152836363.63635746,Pa,F8,10.1016/j.intermet.2024.108608
None,(CoCrFeNi)24 Sm4,FCC,HEBM(MA)+CIP,ball milled in control agent with SS balls to mechanically alloy over 20h in Ar at RT followed by 773K heat treatment over 1h to remove the control agent and cold pressed in 6mm die,hardness,EXP,None,298.0,5196436363.636354,128955681.81818575,Pa,F8,10.1016/j.intermet.2024.108608
None,CoCrFeNi,FCC,HEBM(MA)+CIP+A,ball milled in control agent with SS balls to mechanically alloy over 20h in Ar at RT followed by 773K heat treatment over 1h to remove the control agent and cold pressed in 6mm die; annealed at 1373K for 24h to relax and homogenize the material; Cr2O3 and Cr7C3 impurities precipitated,hardness,EXP,None,298.0,1795827272.7272716,52537500.00000143,Pa,F8,10.1016/j.intermet.2024.108608
None,(CoCrFeNi)24 Sm4,FCC,HEBM(MA)+CIP+A,ball milled in control agent with SS balls to mechanically alloy over 20h in Ar at RT followed by 773K heat treatment over 1h to remove the control agent and cold pressed in 6mm die; annealed at 1373K for 24h to relax and homogenize the material; Cr2O3 and SmCrO3 impurities precipitated,hardness,EXP,None,298.0,3128369318.1818132,324777272.7272716,Pa,F8,10.1016/j.intermet.2024.108608
None,NbScTiZr,BCC+HCP,AAM,slight BCC majority,superconducting transition temperature,EXP,None,None,7.9,None,K,T1,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM+A,annealed at 1073K for 96h (best of 3 annealing trials in the paper); equal BCC and FCC fractions,superconducting transition temperature,EXP,None,None,9.0,None,K,T1,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM,slight BCC majority,electrical resistivity,EXP,None,10.0,2.0037e-06,None,Ohm m,F3,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM+A,annealed at 1073K for 96h (best of 3 annealing trials in the paper); equal BCC and FCC fractions,electrical resistivity,EXP,None,10.0,8.244e-07,None,Ohm m,F3,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM,slight BCC majority,electrical resistivity,EXP,None,150.0,2.1425e-06,None,Ohm m,F3,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM+A,annealed at 1073K for 96h (best of 3 annealing trials in the paper); equal BCC and FCC fractions,electrical resistivity,EXP,None,150.0,9.072e-07,None,Ohm m,F3,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM,slight BCC majority,electrical resistivity,EXP,None,298.0,2.2919e-06,None,Ohm m,F3,10.1007/s10948-023-06643-z
None,NbScTiZr,BCC+HCP,AAM+A,annealed at 1073K for 96h (best of 3 annealing trials in the paper); equal BCC and FCC fractions,electrical resistivity,EXP,None,298.0,9.819e-07,None,Ohm m,F3,10.1007/s10948-023-06643-z
1,Fe1Cr1Co1Ni1,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,None,None,None,None,None,None,None,T1,10.1016/j.jmst.2021.09.031
2,FeCrCoNiMo0.5,FCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,3952221000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
3,FeCrCoNiMo1.0,FCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,6070533000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
4,FeCrCoNiMo1.5,FCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,7678881000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
5,FeCrCoNiMo2.0,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; Mo-rich BCC,hardness,EXP,None,298.0,8286915000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
6,FeCrCoNiMo2.5,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; Mo-rich BCC,hardness,EXP,None,298.0,8404599000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
7,FeCrCoNiMn0.5,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,2628276000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
8,FeCrCoNiMn1.0,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,2608662000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
9,FeCrCoNiMn1.5,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,2608662000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
10,FeCrCoNiMn2.0,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,2490978000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
11,FeCrCoNiMn2.5,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,2432136000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
12,FeCrCoNiMn3.0,FCC,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled,hardness,EXP,None,298.0,2461557000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
13,FeCrCoNiW0.5,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; W-rich BCC,hardness,EXP,None,298.0,4020870000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
14,FeCrCoNiW1.0,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; W-rich BCC,hardness,EXP,None,298.0,5393850000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
15,FeCrCoNiW1.5,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; W-rich BCC,hardness,EXP,None,298.0,5285973000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
16,FeCrCoNiW2.0,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; W-rich BCC,hardness,EXP,None,298.0,6796251000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
17,FeCrCoNiW2.5,FCC+BCC+mu,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; W-rich BCC,hardness,EXP,None,298.0,6354936000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
18,FeCrCoNiSi0.5,FCC+?,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; ? Is unidentified intermetallic but XRD pattern was taken,hardness,EXP,None,298.0,7139496000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
19,FeCrCoNiSi1.0,BCC+?,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; ? Is unidentified intermetallic but XRD pattern was taken,hardness,EXP,None,298.0,7335636000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
20,FeCrCoNiSi1.5,?,MA+HTHIPMSA(HIP),high-throughput method with independent compositions; ball milled for 24h to mechanically alloy then vacuumed at 773K for 8h and HIPed at 1273K under 150MPa for 4h to densify and allow for diffusion  and slowly cooled; ? Is unidentified intermetallic but XRD pattern was taken,hardness,EXP,None,298.0,8934177000.0,None,Pa,T1,10.1016/j.jmst.2021.09.031
